Return Request Sent Successfully,Return Request Sent Successfully
Cut and Attach this form on the outside of the package,Cut and Attach this form on the outside of the package
Order Number,Order Number
Required,Required
Product Name,Product Name
Color,Color
Size,Size
Reason,Reason
Name,Name
Phone,Phone
Address,Address
Receiver,Receiver
Refunds won't be processed if you don't fill this form.,Refunds won't be processed if you don't fill this form.
You can refund within 7 days (including holidays) since the goods are received.,You can refund within 7 days (including holidays) since the goods are received.
Intimates products can't be returned.,Intimates products can't be returned.
Items returned should be in an unused and not washed.,Items returned should be in an unused and not washed.
Item must be in the same condition as when you received the goods.,Item must be in the same condition as when you received the goods.
complete with price tag and receipt,complete with price tag and receipt
